#Table 1
#AAT/UCLES Radial Velocities for HD 114613
#JD-2400000	Velocity	Uncertainty	
#(m s^-1)	(m s^-1)	
50830.25655	4.0	1.2	
50833.22381	1.9	0.8	
50915.08074	0.6	1.4	
50917.08662	-7.5	1.6	
50970.91681	-11.8	1.1	
51002.86733	-5.6	1.8	
51212.26513	5.6	1.4	
51236.21281	-5.5	1.4	
51237.18130	-7.5	1.8	
51274.21875	-1.8	2.0	
51276.08909	-0.2	1.3	
51382.92476	-3.9	1.2	
51386.85182	1.8	1.2	
51631.24051	-1.9	1.3	
51682.84034	1.3	1.4	
51684.05975	-2.8	1.4	
51717.83623	-0.1	1.3	
51919.25519	-0.8	1.8	
51920.26898	-1.7	1.5	
51984.11127	0.3	1.7	
52061.03012	5.0	1.4	
52062.09081	3.8	1.5	
52092.95741	3.6	1.1	
52127.88681	0.4	1.7	
52359.20083	2.3	1.0	
52387.02810	4.4	1.4	
52388.06604	3.4	1.5	
52509.86723	13.4	1.3	
52510.86704	11.2	1.5	
52654.26882	4.6	1.4	
52710.14699	8.8	1.0	
52710.95867	6.4	2.0	
52745.09064	16.9	1.3	
52751.11506	9.0	1.4	
52752.07289	11.6	1.1	
52783.95975	11.8	1.2	
52785.05762	9.3	1.7	
52785.97105	15.2	1.4	
52857.87314	0.6	1.3	
53008.22116	11.7	1.3	
53041.22754	8.0	1.3	
53042.22343	4.2	1.2	
53046.15053	5.2	1.5	
53051.15875	-0.3	1.0	
53214.87828	10.8	1.0	
53215.88215	9.6	1.2	
53242.89915	4.5	0.8	
53245.84896	14.4	1.5	
53399.27632	5.5	0.6	
53405.20308	2.0	0.7	
53482.95081	-1.3	0.8	
53484.04090	-4.9	0.7	
53485.02218	-0.9	0.7	
53485.94007	0.0	0.7	
53486.06578	-0.8	0.7	
53488.12718	1.2	0.7	
53489.07405	-0.4	0.7	
53506.95930	1.5	0.7	
53507.88240	0.4	0.7	
53509.07069	-4.2	0.7	
53516.02470	2.0	1.0	
53517.00282	6.4	0.8	
53518.95553	6.2	0.7	
53520.02670	6.0	0.8	
53521.01119	7.7	0.8	
53521.93055	4.4	0.9	
53522.97922	4.0	0.8	
53568.93024	1.4	0.7	
53569.89040	-2.5	0.8	
53570.93229	-0.1	0.7	
53571.92818	4.4	0.7	
53572.93960	3.5	0.6	
53573.86024	2.8	0.7	
53575.86501	4.8	0.6	
53576.83855	1.5	0.6	
53577.85712	0.4	0.9	
53578.87161	1.6	0.6	
53840.18077	-2.4	0.9	
53841.14463	2.1	0.8	
53843.11871	0.4	0.8	
53844.06189	1.7	0.7	
53937.92281	-1.6	0.7	
53938.90015	1.4	0.6	
53943.85615	-4.9	0.6	
53944.87540	-7.3	0.6	
53945.86861	-4.3	0.8	
53946.86415	-7.3	0.6	
54111.19771	3.5	0.6	
54112.20754	4.7	0.8	
54113.22282	3.5	0.8	
